nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
107503 ,2.250 ,2.776 ,1.600 ,0.594 
107504 ,3.639 ,2.776 ,1.600 ,0.616 
107505 ,0.330 ,2.776 ,1.600 ,0.566 
107506 ,3.913 ,2.776 ,1.600 ,0.621 
107507 ,-1.733 ,2.776 ,1.600 ,0.541 
107508 ,-2.075 ,2.777 ,1.600 ,0.546 
107509 ,4.453 ,2.779 ,1.600 ,0.602 
107510 ,4.663 ,2.781 ,1.600 ,0.598 
107511 ,-4.212 ,2.782 ,1.600 ,0.524 
107512 ,3.966 ,2.784 ,1.600 ,0.620 
107513 ,-0.833 ,2.785 ,1.600 ,0.551 
107514 ,-0.350 ,2.786 ,1.600 ,0.567 
107515 ,-2.228 ,2.788 ,1.600 ,0.544 
107516 ,3.418 ,2.788 ,1.600 ,0.608 
107517 ,4.168 ,2.789 ,1.600 ,0.614 
107518 ,-1.532 ,2.790 ,1.600 ,0.540 
107519 ,-0.993 ,2.790 ,1.600 ,0.542 
107520 ,-2.384 ,2.790 ,1.600 ,0.542 
107521 ,3.522 ,2.790 ,1.600 ,0.612 
107522 ,2.033 ,2.791 ,1.600 ,0.599 
107523 ,0.725 ,2.791 ,1.600 ,0.566 
107524 ,1.581 ,2.792 ,1.600 ,0.592 
107525 ,-3.699 ,2.792 ,1.600 ,0.521 
107526 ,1.875 ,2.793 ,1.600 ,0.599 
107527 ,-2.223 ,2.794 ,1.600 ,0.545 
107528 ,0.189 ,2.794 ,1.600 ,0.569 
107529 ,-3.697 ,2.795 ,1.600 ,0.521 
107530 ,-2.238 ,2.795 ,1.600 ,0.545 
107531 ,-3.698 ,2.795 ,1.600 ,0.521 
107532 ,-3.696 ,2.796 ,1.600 ,0.521 
107533 ,3.347 ,2.796 ,1.600 ,0.606 
107534 ,2.056 ,2.796 ,1.600 ,0.598 
107535 ,-0.498 ,2.796 ,1.600 ,0.562 
107536 ,-4.102 ,2.797 ,1.600 ,0.526 
107537 ,4.376 ,2.797 ,1.600 ,0.604 
107538 ,-3.698 ,2.797 ,1.600 ,0.521 
107539 ,-14.704 ,2.799 ,1.600 ,0.422 
107540 ,-3.704 ,2.799 ,1.600 ,0.521 
107541 ,4.284 ,2.801 ,1.600 ,0.608 
107542 ,-2.016 ,2.801 ,1.600 ,0.547 
107543 ,3.304 ,2.802 ,1.600 ,0.604 
107544 ,-1.141 ,2.802 ,1.600 ,0.544 
107545 ,0.221 ,2.802 ,1.600 ,0.569 
107546 ,-0.528 ,2.804 ,1.600 ,0.561 
107547 ,1.789 ,2.806 ,1.600 ,0.597 
107548 ,0.534 ,2.808 ,1.600 ,0.566 
107549 ,1.382 ,2.809 ,1.600 ,0.585 
107550 ,2.519 ,2.809 ,1.600 ,0.590 
107551 ,-0.653 ,2.809 ,1.600 ,0.557 
107552 ,2.047 ,2.809 ,1.600 ,0.598 
107553 ,1.162 ,2.810 ,1.600 ,0.578 
107554 ,22.584 ,2.810 ,1.600 ,0.656 
107555 ,27.413 ,2.811 ,1.600 ,0.590 
107556 ,-27.412 ,2.812 ,1.600 ,0.532 
107557 ,77.417 ,2.812 ,1.600 ,0.870 
107558 ,-2.225 ,2.813 ,1.600 ,0.545 
107559 ,0.954 ,2.813 ,1.600 ,0.569 
107560 ,3.815 ,2.813 ,1.600 ,0.618 
107561 ,-0.063 ,2.814 ,1.600 ,0.572 
107562 ,-2.421 ,2.814 ,1.600 ,0.541 
107563 ,4.527 ,2.814 ,1.600 ,0.599 
107564 ,-0.135 ,2.816 ,1.600 ,0.571 
107565 ,-3.164 ,2.816 ,1.600 ,0.522 
107566 ,0.353 ,2.816 ,1.600 ,0.566 
107567 ,-2.741 ,2.817 ,1.600 ,0.532 
107568 ,3.939 ,2.817 ,1.600 ,0.618 
107569 ,0.229 ,2.818 ,1.600 ,0.569 
107570 ,4.418 ,2.819 ,1.600 ,0.602 
107571 ,0.214 ,2.819 ,1.600 ,0.570 
107572 ,-7.724 ,2.822 ,1.600 ,0.468 
107573 ,-4.576 ,2.822 ,1.600 ,0.517 
107574 ,-3.575 ,2.824 ,1.600 ,0.521 
107575 ,-2.104 ,2.824 ,1.600 ,0.547 
